,Pearson r,p-value
SBP_PPG vs SBP_PPW,0.9777196705548798,5.318846715169137e-06
SBP_PPG vs SBP_AIx,0.4539663287362103,0.21965251244352238
SBP_PPG vs SBP_AIx_Red,0.027912260976706276,0.9431745135624944
SBP_PPW vs SBP_AIx,0.3592053028537932,0.3424178400796623
SBP_PPW vs SBP_AIx_Red,-0.08699368561468407,0.8238917821111652
SBP_AIx vs SBP_AIx_Red,0.03268993397981078,0.9334638897878855
DBP_PPG vs DBP_PPW,0.9777196705548802,5.318846715168953e-06
DBP_PPG vs DBP_AIx,0.4539663287362103,0.21965251244352238
DBP_PPG vs DBP_AIx_Red,0.02791226097670555,0.9431745135624955
DBP_PPW vs DBP_AIx,0.35920530285379293,0.34241784007966275
DBP_PPW vs DBP_AIx_Red,-0.08699368561468457,0.823891782111164
DBP_AIx vs DBP_AIx_Red,0.03268993397981078,0.9334638897878855
