,Pearson r,p-value
SBP_PPG vs SBP_PPW,0.9999999999999998,3.5089823585550394e-101
SBP_PPG vs SBP_AIx,-0.14230527021109007,0.6129132934626793
SBP_PPG vs SBP_AIx_Red,0.015747780786624675,0.9555788264083234
SBP_PPW vs SBP_AIx,-0.14230527021109007,0.6129132934626793
SBP_PPW vs SBP_AIx_Red,0.015747780786624675,0.9555788264083234
SBP_AIx vs SBP_AIx_Red,-0.11297213191735196,0.6885170691824155
DBP_PPG vs DBP_PPW,1.0,0.0
DBP_PPG vs DBP_AIx,-0.14230527021108944,0.6129132934626806
DBP_PPG vs DBP_AIx_Red,0.01574778078662457,0.9555788264083234
DBP_PPW vs DBP_AIx,-0.14230527021108944,0.6129132934626806
DBP_PPW vs DBP_AIx_Red,0.01574778078662457,0.9555788264083234
DBP_AIx vs DBP_AIx_Red,-0.11297213191735103,0.6885170691824177
