,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,0.11498240551044675,0.6292994075368739,2.999611130129184,3.463260728528376
Real_DBP vs Estimated_DBP_PPG,0.16423655478673205,0.4889899590932225,2.4581952366245083,2.8574150118366957
Real_SBP vs Estimated_SBP_PPW,-0.06261561240657854,0.7931273004610491,3.038685822418226,3.5321606003454398
Real_DBP vs Estimated_DBP_PPW,-0.12340019267729166,0.604237378071325,2.5277554736943952,2.9890582172448483
Real_SBP vs Estimated_SBP_AIx,0.18901608529311817,0.42480634727323485,4.376761331300117,5.248003092143089
Real_DBP vs Estimated_DBP_AIx,0.20958246717246598,0.37516608193742784,2.659257757805501,3.0103845171964005
Real_SBP vs Estimated_SBP_AIx_Red,0.09357737232859899,0.6947572800642139,3.908528863713337,4.597747841291082
Real_DBP vs Estimated_DBP_AIx_Red,0.22323250162401875,0.3441191620215788,3.8940907614067455,4.748089723261995
Real_SBP vs Estimated_SBP_Personalized,0.11498240551044675,0.6292994075368739,2.999611130129184,3.463260728528376
Real_DBP vs Estimated_DBP_Personalized,0.16423655478673205,0.4889899590932225,2.4581952366245083,2.8574150118366957
