,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,0.5542099406806875,0.039730529907425996,2.3461923900234436,2.9117770204751205
Real_DBP vs Estimated_DBP_PPG,0.5734457709454905,0.032037343209346494,2.0220283806064296,2.513291569318434
Real_SBP vs Estimated_SBP_PPW,0.2937358356347321,0.30805843855345666,2.5798866696329776,3.1446298674830424
Real_DBP vs Estimated_DBP_PPW,0.3444974965461091,0.22775016686943966,2.2173383430798084,2.6942197098698935
Real_SBP vs Estimated_SBP_AIx,0.10995409714912242,0.7082621416284021,7.367825800329222,8.083530565467285
Real_DBP vs Estimated_DBP_AIx,0.0642125183830927,0.8273633541943033,3.7137045581240593,4.600056063991524
Real_SBP vs Estimated_SBP_AIx_Red,0.2684488292571275,0.3534127957299067,13.753120629779653,15.914772653127123
Real_DBP vs Estimated_DBP_AIx_Red,0.2771849356738716,0.3373487683195928,7.508183703539317,8.98175850187585
Real_SBP vs Estimated_SBP_Personalized,0.5542099406806875,0.039730529907425996,2.3461923900234436,2.9117770204751205
Real_DBP vs Estimated_DBP_Personalized,0.5734457709454905,0.032037343209346494,2.0220283806064296,2.513291569318434
