,Pearson r,p-value
SBP_PPG vs SBP_PPW,0.9999999999999998,1.454414456122612e-116
SBP_PPG vs SBP_AIx,0.018416725897603018,0.9440698332515939
SBP_PPG vs SBP_AIx_Red,0.1518618621997548,0.5606738144844882
SBP_PPW vs SBP_AIx,0.018416725897603018,0.9440698332515939
SBP_PPW vs SBP_AIx_Red,0.1518618621997548,0.5606738144844882
SBP_AIx vs SBP_AIx_Red,-0.013477321295279116,0.9590564527400847
DBP_PPG vs DBP_PPW,1.0,0.0
DBP_PPG vs DBP_AIx,0.018416725897603785,0.9440698332515917
DBP_PPG vs DBP_AIx_Red,0.1518618621997553,0.5606738144844864
DBP_PPW vs DBP_AIx,0.018416725897603785,0.9440698332515917
DBP_PPW vs DBP_AIx_Red,0.1518618621997553,0.5606738144844864
DBP_AIx vs DBP_AIx_Red,-0.013477321295277688,0.95905645274009
