,Pearson r,p-value
SBP_PPG vs SBP_PPW,0.5363695976923557,0.03927998246893482
SBP_PPG vs SBP_AIx,0.26091056413430597,0.3476034762550954
SBP_PPG vs SBP_AIx_Red,-0.0009185033602575387,0.9974079213349895
SBP_PPW vs SBP_AIx,0.03164437311081582,0.9108610225210585
SBP_PPW vs SBP_AIx_Red,0.08518260130091242,0.7627753042428208
SBP_AIx vs SBP_AIx_Red,0.3327990404624048,0.22549946674298735
DBP_PPG vs DBP_PPW,0.5363695976923558,0.03927998246893482
DBP_PPG vs DBP_AIx,0.2609105641343075,0.3476034762550923
DBP_PPG vs DBP_AIx_Red,-0.0009185033602576709,0.9974079213349885
DBP_PPW vs DBP_AIx,0.03164437311081847,0.9108610225210506
DBP_PPW vs DBP_AIx_Red,0.08518260130091262,0.7627753042428203
DBP_AIx vs DBP_AIx_Red,0.3327990404624063,0.22549946674298496
