,Pearson r,p-value
SBP_PPG vs SBP_PPW,1.0,0.0
SBP_PPG vs SBP_AIx,-0.043518037790222355,0.9261914209152592
SBP_PPG vs SBP_AIx_Red,0.18174534191629874,0.6965299337643691
SBP_PPW vs SBP_AIx,-0.043518037790222355,0.9261914209152592
SBP_PPW vs SBP_AIx_Red,0.18174534191629874,0.6965299337643691
SBP_AIx vs SBP_AIx_Red,-0.13553378865696492,0.7720181605121199
DBP_PPG vs DBP_PPW,0.9999999999999998,1.411088991461081e-39
DBP_PPG vs DBP_AIx,-0.04351803779022386,0.9261914209152572
DBP_PPG vs DBP_AIx_Red,0.18174534191629782,0.6965299337643707
DBP_PPW vs DBP_AIx,-0.04351803779022386,0.9261914209152572
DBP_PPW vs DBP_AIx_Red,0.18174534191629782,0.6965299337643707
DBP_AIx vs DBP_AIx_Red,-0.13553378865696614,0.7720181605121181
