,Pearson r,p-value
SBP_PPG vs SBP_PPW,0.9927338362784618,7.900388652799647e-05
SBP_PPG vs SBP_AIx,0.292927920480355,0.5731757181306608
SBP_PPG vs SBP_AIx_Red,0.19261955023857347,0.7146439879576763
SBP_PPW vs SBP_AIx,0.3746648201149403,0.4642993184961317
SBP_PPW vs SBP_AIx_Red,0.11900405859600982,0.8223365778195928
SBP_AIx vs SBP_AIx_Red,-0.28359510155435547,0.5860115832413411
DBP_PPG vs DBP_PPW,0.9927338362784619,7.900388652799647e-05
DBP_PPG vs DBP_AIx,0.29292792048035504,0.5731757181306608
DBP_PPG vs DBP_AIx_Red,0.19261955023857208,0.7146439879576783
DBP_PPW vs DBP_AIx,0.3746648201149415,0.46429931849613026
DBP_PPW vs DBP_AIx_Red,0.11900405859600802,0.8223365778195955
DBP_AIx vs DBP_AIx_Red,-0.28359510155435597,0.5860115832413401
