Pair,Pearson r,p-value
DBP_PPG vs DBP_AIx,0.11359660272255935,0.5477495771814426
DBP_PPG vs DBP_PPW,0.04914009557757406,0.477910451541862
DBP_PPW vs DBP_AIx,-0.048238987571977775,0.6157451151058513
Max,1.0,1.0
Mean,0.0381659035760518,0.5471350479430519
Min,-1.0,0.0034264334773226
SBP_PPG vs SBP_AIx,0.11359660272255935,0.5477495771814427
SBP_PPG vs SBP_PPW,0.04914009557757391,0.4779104515418618
SBP_PPW vs SBP_AIx,-0.04823898757197802,0.6157451151058511
Std Dev,0.4616577742313158,0.3190733440986826
